who,role,identity,effective_slash_planck,effective_slash_token
CanLB42xJughpTRC1vXStUryjWYkE679emign1af47QnAQC,None,undefined,1060000000000,1.0600 KSM
CcKPhXSyZgATZD1wVaRsSk81UfLcQvyuuS2i9FNhsoeQeWr,None,undefined,1060000000000,1.0600 KSM
CdEm1ErGKML3waXabLvn3NyqdAGXBQJVngLaM86YM5Yb9dr,None,undefined,1060000000000,1.0600 KSM
DMF8a34emwapz9mV5P5PTDcghh1ZR3miH9ad9mHzfAUMSXU,Members,Al scientist w3f,1176666666666,1.1766 KSM
DTLcUu92NoQw4gg6VmNgXeYQiNywDhfYMQBPYg2Y1W6AkJF,None,federico,1060000000000,1.0600 KSM
DaCSCEQBRmMaBLRQQ5y7swdtfRzjcsewVgCCmngeigwLiax,RunnerUp,POLKAWORLD,12060000000000,12.0600 KSM
DfiSM1qqP11ECaekbA64L2ENcsWEpGk8df8wf1LAfV2sBd4,None,CP287-CLOUDWALK,4060000000000,4.0600 KSM
ET9SkhNZhY7KT474vkCEJtAjbgJdaqAGW4beeeUJyDQ3SnA,None,undefined,2060000000000,2.0600 KSM
FcxNWVy5RESDsErjwyZmPCW6Z8Y3fbfLzmou34YZTrbcraL,Members,0xf09f8dba2047617620f09fa583,3010000000000,3.0100 KSM
GcqKn3HHodwcFc3Pg3Evcbc43m7qJNMiMv744e5WMSS7TGn,Members,0xf09f94a5f09f94a5437279707469756d204c6162732031f09f94a5f09f94a5,4059999999996,4.0599 KSM
Gth5jQA6v9EFbpqSPgXcsvpGSrbTdWwmBADnqa36ptjs5m5,Members,0xf09fa49620526f626f7420486561727420f09f96a4,11070000000000,11.0700 KSM
HUewJvzVuEeyaxH2vx9XiyAPKrpu1Zj5r5Pi9VrGiBVty7q,None,undefined,1060000000000,1.0600 KSM
FcjmeNzPk3vgdENm1rHeiMCxFK96beUoi2kb59FmCoZtkGF,None,Staker Space,1060000000000,1.0600 KSM
ELharp1RuLgHUE6436sWSpW6XB2BqhaSq9L1Wexs83aodZ6,None,undefined,1050000000000,1.0500 KSM
FX7ar9G6Lm3KXt431UHfcEETU9NpAyoT4MtCDVuFq6WgdfV,None,undefined,1050000000000,1.0500 KSM
H9eSvWe34vQDJAWckeTHWSqSChRat8bgKHG39GC1fjvEm7y,Members,0x4a414d20e298a0efb88ff09f908d,6160000000000,6.1600 KSM
D9rwRxuG8xm8TZf5tgkbPxhhTJK5frCJU9wvp59VRjcMkUf,None,0x466f72626f6c6520f09f8ea0,1060000000000,1.0600 KSM
Dtj5dNTPxX6UNfz7DvB3wKUiWcYpjmcDBnjWyYEShgBbtnQ,None,undefined,1060000000000,1.0600 KSM
EGVQCe73TpFyAZx5uKfE1222XfkT3BSKozjgcqzLBnc5eYo,Members,Shawn Tabrizi,12060000000000,12.0600 KSM
GJ7JBaqx4ys5LrkECQKmEWdjGgAoXChsLepjEqdHuKggymK,None,TriplEight,1000000000000,1.0000 KSM
DbF59HrqrrPh9L2Fi4EBd7gn4xFUSXmrE6zyMzf3pETXLvg,Members,Chevdor,3393333333332,3.3933 KSM
ESred3TPEQhyNBuqYLoKrRQdq6msiX7EC14h3fDx3yDvt65,None,undefined,1000000000000,1.0000 KSM
CzJfMJpzjyjPXbW1wTjFxq3v8aAXpSxwNnuR6oTRCgZehMS,None,undefined,1000000000000,1.0000 KSM
E35K8FV3K1vn1wJfkjUZcDnG8mmcXVre4LiDZxKWDdjtaVE,Members,Gavin - Figment Networks,11050000000000,11.0500 KSM
G7eJUS1A7CdcRb2Y3zEDvfAJrM1QtacgG6mPD1RsPTJXxPQ,None,undefined,3000000000000,3.0000 KSM
HgiRxRWYPoEF5RTAcP8tn5vJ5JoFNW7BZC4ootwmnSQvTpp,None,undefined,1000000000000,1.0000 KSM
HFG4FvoJv8uanizzetS1tPA6wigNAiKuEHKcm1NaKNNDwve,None,David,8333333333332,8.3333 KSM
DokiayXWoMvotzchNdLSH4P4Fe7EvMESZvZL4Fn3NekoFtf,None,DokiaCapital-HootHoot,4000000000000,4.0000 KSM
FXkJddo2bypz4EyikYZiCLcYv31afnPQkCzt7H6Zn6u6YXZ,None,Konstantin p2p.org,5000000000000,5.0000 KSM
J6xn7Mr8pfed6gvvRPZ8HEEb89RCwheTBtxymg9Xw36hUUS,None,0xf09f94b14d61737465726e6f64653234,2000000000000,2.0000 KSM
FnoYEw7vhMb5uLDaqjYZ84viAAt4nM7S9sD2oV9owZJTsc4,Members,Jack,11000000000000,11.0000 KSM
Hjuii5eGVttxjAqQrPLVN3atxBDXPc4hNpXF6cPhbwzvtis,Members,0xf09f91915072696e6365204b7573616d61f09f9191,1000000000000,1.0000 KSM
DWUAQt9zcpnQt5dT48NwWbJuxQ78vKRK9PRkHDkGDn9TJ1j,Members,Polkascan Foundation,1050000000000,1.0500 KSM
HSNBs8VHxcZiqz9NfSQq2YaznTa8BzSvuEWVe4uTihcGiQN,RunnerUp,Acala Foundation,7000000000000,7.0000 KSM
GvyfytrxFQbHK8ZFNT3h12dJPfBXFjVV7k98cXni8VAgjKX,Members,0xf09f998df09f8fbce2808de29980efb88f204a75747461,2000000000000,2.0000 KSM
J9nD3s7zssCX7bion1xctAF6xcVexcpy2uwy4jTm9JL8yuK,Members,Jaco,4000000000000,4.0000 KSM
DiUYgG4o2MZg9SwZcEekbXTeGkkWfzXnkTEXKmRx1xZEVY4,None,IOSG,333333333332,333.3333 mKSM
GZrYeXSDWXQASq4uhrpKG8rx2ziR6XpLxiNo9Z5tJyZBpQX,RunnerUp,Emiel Sebastiaan,333333333332,333.3333 mKSM
CpjsLDC1JFyrhm3ftC9Gs4QoyrkHKhZKtK7YqGTRFtTafgp,Members,Bruno | W3F,1833333333326,1.8333 KSM
Etj64GQ5Mzm98HijdnvqjxMyK8xemPtLTpWdnwEiEvFygJa,Members,Dan Reecer,833333333330,833.3333 mKSM
GPA7hzVXcZ22vhHYNu2c74e7KMhR5dJzk9uLfdVsdBrKK3x,Members,ZKV Council,666666666664,666.6666 mKSM
JKoSyjg9nvVZterFB5XssM7eaYj4Ty6LhCLRGUfy6NKGNC3,Members,Hutch,166666666666,166.6666 mKSM
