who,should_reserve,has_reserve,effective_slash
1RG5T6zGY4XovW75mTgpH6Bx7Y6uwwMmPToMCJSdMwdm4EW,1603640000000,0,1603640000000
1WG3jyNqniQMRZGQUc7QD2kVLT8hkRPGMSqAb5XYQM1UDxN,1202580000000,0,1252580000000
1dGsgLgFez7gt5WjX2FYzNCJtaCjGG6W9dA42d9cHngDYGg,1607240000000,0,1607240000000
1hJdgnAPSjfuHZFHzcorPnFvekSHihK9jdNPWHXgeuL7zaJ,1252580000000,0,1252580000000
1rwgen2jqJNNg7DpUA4jBvMjyepgiFKLLm3Bwt8pKQYP8Xf,1252580000000,0,1252580000000
128qRiVjxU3TuT37tg7AX99zwqfPtj2t4nDKUv9Dvi5wzxuF,1252580000000,0,1266880000000
12Vv2LsLCvPKiXdoVGa3QSs2FMF8zx2c8CPTWwLAwfYSFVS1,2252580000000,1000000000000,4252580000000
12Y8b4C9ar162cBgycxYgxxHG7cLVs8gre9Y5xeMjW3izqer,1603650000000,200330000000,1202910000000
12mP4sjCfKbDyMRAEyLpkeHeoYtS5USY4x34n9NMwQrcEyoh,1202580000000,0,1202580000000
12xG1Bn4421hUQAxKwZd9WSxZCJQwJBbwr6aZ4ZxvuR7A1Ao,1000000000000,0,1000000000000
12xGDBh6zSBc3D98Jhw9jgUVsK8jiwGWHaPTK21Pgb7PJyPn,1402990000000,0,1402990000000
13Gdmw7xZQVbVoojUCwnW2usEikF2a71y7aocbgZcptUtiX9,1202580000000,0,1202580000000
13pdp6ALhYkfEBqBM98ztL2Xhv4MTkm9rZ9vyjyXSdirJHx6,2806820000000,0,2806820000000
14krbTSTJv3aaT1VeBRX7CzoV4crr3adeF3KutdpkCttrxsZ,1000000000000,0,1000000000000
14mSXQeHpF8NT1tMKu87tAbNDNjm7q9qh8hYa7BY2toNUkTo,1452990000000,0,1452990000000
15BQUqtqhmqJPyvvEH5GYyWffXWKuAgoSUHuG1UeNdb8oDNT,1804170000000,0,1804170000000
15MUBwP6dyVw5CXF9PjSSv7SdXQuDSwjX86v1kBodCSWVR7c,2000000000000,0,2050000000000
15aKvwRqGVAwuBMaogtQXhuz9EQqUWsZJSAzomyb5xYwgBXA,1452990000000,0,1452990000000
15akrup6APpRegG1TtWkYVuWHYc37tJ8XPN61vCuHQUi65Mx,1357820000000,0,1407820000000
167rjWHghVwBJ52mz8sNkqr5bKu5vpchbc9CBoieBhVX714h,1202580000000,202580000000,1000000000000
